,AAPL_pred
2021-07-09,4.958288642216743
2021-07-12,4.954075922416961
2021-07-13,4.961934130482758
2021-07-14,4.985748916803727
2021-07-15,4.9812465650786155
2021-07-16,4.967070482890482
2021-07-19,4.939787632609038
2021-07-20,4.965429837923969
2021-07-21,4.960285136914737
2021-07-22,4.969867657534615
2021-07-23,4.981784987150526
2021-07-26,4.984675628522821
2021-07-27,4.969663243559045
2021-07-28,4.9573922220088065
2021-07-29,4.961934130482758
2021-07-30,4.963443811681044
2021-08-02,4.961109920151143
2021-08-03,4.973675207394197
2021-08-04,4.970888783556065
2021-08-05,4.9716371798639125
2021-08-06,4.966858694546476
2021-08-09,4.966516422888287
2021-08-10,4.9631565864861455
2021-08-11,4.964940888537414
2021-08-12,4.985501513649014
2021-08-13,4.986910954948422
2021-08-16,5.0003677152527395
2021-08-17,4.9941949401476045
2021-08-18,4.968362875185599
2021-08-19,4.9706832018968665
2021-08-20,4.980789081781979
2021-08-23,4.9909938903751225
2021-08-24,4.990392207263186
2021-08-25,4.98193511971032
2021-08-26,4.976393045078133
2021-08-27,4.983551751269709
2021-08-30,5.01351546046608
2021-08-31,5.00505507668237
2021-09-01,5.009523836812633
2021-09-02,5.016970672235486
2021-09-03,5.0211921666774275
2021-09-07,5.0365630310872955
2021-09-08,5.026428000705019
2021-09-09,5.019700828175031
2021-09-10,4.986038484310041
2021-09-13,4.989924454206879
2021-09-14,4.98031618499104
2021-09-15,4.986441257655935
2021-09-16,4.984829294382974
2021-09-17,4.966310897311724
2021-09-20,4.944718653649454
2021-09-21,4.9481405813961095
2021-09-22,4.964872205693834
2021-09-23,4.971569061197785
2021-09-24,4.972181856498766
2021-09-27,4.961575745501566
2021-09-28,4.937486678569901
2021-09-29,4.943948634026126
2021-09-30,4.934593142175529
2021-10-01,4.942687648178225
2021-10-04,4.917774098757085
2021-10-05,4.931833203799921
2021-10-06,4.938120822029234
2021-10-07,4.947164020088088
2021-10-08,4.944438606425381
2021-10-12,4.9346638266471015
2021-10-13,4.930414992257542
2021-10-14,4.950438894788458
2021-10-15,4.957923157656435
2021-10-18,4.9696602761226325
2021-10-19,4.984627707504167
2021-10-20,4.98798330482461
2021-10-21,4.989456170547237
2021-10-22,4.9841571452080125
