Height,Remaining_lease,district_C,district_N,district_E,district_S,district_W,Improved,Model_A,New_Gen,Premium,Simplified,Rel_value
3,95.25,0,1,0,0,0,0,1,0,0,0,0
3,78.41666667,0,1,0,0,0,0,1,0,0,0,0
3,80.41666667,0,1,0,0,0,0,1,0,0,0,0
3,77.33333333,0,1,0,0,0,0,1,0,0,0,0
3,93.41666667,0,1,0,0,0,0,1,0,0,0,0
3,78.41666667,0,1,0,0,0,0,1,0,0,0,0
3,79.91666667,0,1,0,0,0,0,1,0,0,0,0
3,93,0,1,0,0,0,0,1,0,0,0,0
3,95.16666667,0,1,0,0,0,0,1,0,0,0,0
3,78.83333333,0,1,0,0,0,0,1,0,0,0,0
3,95.08333333,0,1,0,0,0,0,1,0,0,0,0
3,93.25,0,1,0,0,0,0,1,0,0,0,0
3,89.66666667,0,1,0,0,0,0,1,0,0,0,0
3,94.58333333,0,1,0,0,0,0,1,0,0,0,0
3,94.25,0,1,0,0,0,0,1,0,0,0,0
3,80.08333333,0,1,0,0,0,0,1,0,0,0,0
3,76.91666667,0,1,0,0,0,0,1,0,0,0,0
3,94.33333333,0,1,0,0,0,0,1,0,0,0,0
3,94.58333333,0,1,0,0,0,0,1,0,0,0,0
3,76.75,0,1,0,0,0,0,1,0,0,0,0
3,77.58333333,0,1,0,0,0,0,1,0,0,0,0
3,89.75,0,1,0,0,0,0,1,0,0,0,0
3,90.75,0,1,0,0,0,0,1,0,0,0,0
3,93,0,1,0,0,0,0,1,0,0,0,0
3,93.25,0,1,0,0,0,0,1,0,0,0,0
3,78.08333333,0,1,0,0,0,0,1,0,0,0,0
3,94.91666667,0,1,0,0,0,0,1,0,0,0,0
3,92.75,0,1,0,0,0,0,1,0,0,0,0
3,78.91666667,0,1,0,0,0,0,1,0,0,0,0
3,77.33333333,0,1,0,0,0,0,1,0,0,0,0
3,76.75,0,1,0,0,0,0,1,0,0,0,0
3,90.66666667,0,1,0,0,0,0,1,0,0,0,0
3,94.16666667,0,1,0,0,0,0,1,0,0,0,0
3,90.33333333,0,1,0,0,0,0,1,0,0,0,0
3,93.66666667,0,1,0,0,0,0,1,0,0,0,0
3,80.83333333,0,1,0,0,0,0,1,0,0,0,0
3,95.41666667,0,1,0,0,0,0,1,0,0,0,0
3,80.83333333,0,1,0,0,0,0,1,0,0,0,0
3,76.83333333,0,1,0,0,0,0,1,0,0,0,0
3,77.16666667,0,1,0,0,0,0,1,0,0,0,0
3,89.33333333,0,1,0,0,0,0,1,0,0,0,0
3,78.41666667,0,1,0,0,0,0,1,0,0,0,0
3,89.41666667,0,1,0,0,0,0,1,0,0,0,0
3,93.5,0,1,0,0,0,0,1,0,0,0,0
3,92.83333333,0,1,0,0,0,0,1,0,0,0,0
3,79.5,0,1,0,0,0,0,1,0,0,0,0
3,78.91666667,0,1,0,0,0,0,1,0,0,0,0
3,77.75,0,1,0,0,0,0,1,0,0,0,0
3,92.75,0,1,0,0,0,0,1,0,0,0,0
3,90.5,0,1,0,0,0,0,1,0,0,0,0
3,91.25,0,1,0,0,0,0,1,0,0,0,0
3,90.25,0,1,0,0,0,0,1,0,0,0,0
3,94.75,0,1,0,0,0,0,1,0,0,0,0
3,93,0,1,0,0,0,0,1,0,0,0,0
3,92.91666667,0,1,0,0,0,0,1,0,0,0,0
3,90.5,0,1,0,0,0,0,1,0,0,0,0
3,76.83333333,0,1,0,0,0,0,1,0,0,0,0
3,79.25,0,1,0,0,0,0,1,0,0,0,0
3,78.66666667,0,1,0,0,0,0,1,0,0,0,0
3,94,0,1,0,0,0,0,1,0,0,0,0
3,94.66666667,0,1,0,0,0,0,1,0,0,0,0
3,92.66666667,0,1,0,0,0,0,1,0,0,0,0
3,92.75,0,1,0,0,0,0,1,0,0,0,0
3,92.75,0,1,0,0,0,0,1,0,0,0,0
3,83.16666667,0,1,0,0,0,0,1,0,0,0,0
3,78.25,0,1,0,0,0,0,1,0,0,0,0
3,76.83333333,0,1,0,0,0,0,1,0,0,0,0
3,76.16666667,0,1,0,0,0,0,1,0,0,0,0
3,76.41666667,0,1,0,0,0,0,1,0,0,0,0
3,92,0,1,0,0,0,0,1,0,0,0,0
3,92.83333333,0,1,0,0,0,0,1,0,0,0,0
3,92.83333333,0,1,0,0,0,0,1,0,0,0,0
3,77.58333333,0,1,0,0,0,0,1,0,0,0,0
3,79.08333333,0,1,0,0,0,0,1,0,0,0,0
3,82.58333333,0,1,0,0,0,0,1,0,0,0,0
3,82.58333333,0,1,0,0,0,0,1,0,0,0,0
3,76.91666667,0,1,0,0,0,0,1,0,0,0,0
3,93.16666667,0,1,0,0,0,0,1,0,0,0,0
3,92.41666667,0,1,0,0,0,0,1,0,0,0,0
3,92.58333333,0,1,0,0,0,0,1,0,0,0,0
3,92.58333333,0,1,0,0,0,0,1,0,0,0,0
3,93.91666667,0,1,0,0,0,0,1,0,0,0,0
3,95.08333333,0,1,0,0,0,0,1,0,0,0,0
3,94.91666667,0,1,0,0,0,0,1,0,0,0,0
3,62.5,0,1,0,0,0,0,1,0,0,0,0
3,74.16666667,0,1,0,0,0,0,1,0,0,0,0
3,71.66666667,0,1,0,0,0,0,1,0,0,0,0
3,75.5,0,1,0,0,0,0,1,0,0,0,0
3,62.75,0,1,0,0,0,0,1,0,0,0,0
3,61.66666667,0,1,0,0,0,0,1,0,0,0,0
3,65.91666667,0,1,0,0,0,0,1,0,0,0,0
3,62.66666667,0,1,0,0,0,0,1,0,0,0,0
3,67.91666667,0,1,0,0,0,0,1,0,0,0,0
3,71.58333333,0,1,0,0,0,0,1,0,0,0,0
3,93.5,0,1,0,0,0,0,1,0,0,0,0
3,62.5,0,1,0,0,0,0,1,0,0,0,0
